name,poster,plays,comments,likes,reposts,posted_time,tag
Cherry Hill - Russ {Split},jazz,"5,989,060 plays",603 comments,88.6K,"3,218",Posted on 10 May 2017,Hip-hop & Rap
LoveGame New Jazz Prod Bread Beatz,BreadBeatz,"1,451,673 plays",413 comments,33.7K,293,Posted on 17 September 2023,New Jazz
From The Start,laufey,"3,561,146 plays","2,392 comments",60.4K,818,Posted on 11 May 2023,Jazz
bersamamu - jazz speed up tiktok version.mp3,Nineteen_,"603,659 plays",24 comments,"5,668",42,Posted on 8 October 2023,None
Poker Face New Jazz remix Prod Bread Beatz,BreadBeatz,"913,552 plays",138 comments,20.3K,157,Posted on 3 September 2023,New Jazz
the performance or the looks (LoveGame New Jazz Prod Bread Beatz),qwark,"332,561 plays",41 comments,"5,405",25,Posted on 10 October 2023,New Jazz
Tanin Jazz - Виртуальная Любовь - Virtual Love (full piano ver. + words),𝙷𝚘𝚛𝚞𝚔𝚘_,"361,857 plays",191 comments,"8,539",74,Posted on 23 August 2023,None
Bersamamu-Jazz,Musica Laxzone,"136,574 plays",1 comment,"1,422",12,Posted on 18 October 2023,None
SDM - Jazz Fuego (Remix Not-G),NOT-G,"219,357 plays",174 comments,"6,440",51,Posted on 9 September 2023,Hip-hop & Rap
If NewJeans sang over the viral new jazz beat by frozy808 (out on all streaming platforms),picassio,"334,419 plays",266 comments,"9,479",280,Posted on 23 August 2023,Pop
Alpha Wann New Jazz - Not-G,NOT-G,"250,300 plays",273 comments,"9,393",129,Posted on 26 July 2023,Hip-hop & Rap
Love Game New Jazz - SLOWED,4pm,"132,709 plays",8 comments,"2,139",8,Posted on 10 October 2023,None
Friends New Jazz Remix Prod. Bread Beatz,BreadBeatz,"173,551 plays",47 comments,"3,485",36,Posted on 24 August 2023,new jazz
LoveGame New Jazz Prod Bread Beatz (slowed version),☆,"102,896 plays",19 comments,"1,928",12,Posted on 21 October 2023,New jazz
Migos - Straightenin [new jazz],KIRA 🏂,"72,964 plays",15 comments,"3,209",19,Posted on 24 October 2023,None
"Я знаю твой телефон, но никогда не позвоню Tanin Jazz - I know your phone number",Ns_,"829,215 plays",201 comments,13.7K,107,Posted on 5 June 2020,None
Falling Behind,laufey,"1,346,095 plays",718 comments,23.7K,234,Posted on 11 August 2022,Jazz
LoveGame New Jazz Prod Bread Beatz (slowed perfectly),BabyKicker,"103,689 plays",10 comments,"1,601",11,Posted on 13 October 2023,None
- Poker face new jazz remix Prod. Bread beats SLOWED + REVERB,Xoro,"88,968 plays",5 comments,"1,346",7,Posted on 8 October 2023,None
Virtual Love ★ Tanin Jazz [slowed],.𖥔 ݁ ˖𝑒𝓁𝑒𝒶𝓃𝑜𝓇 (^_−)☆,"71,482 plays",43 comments,"1,752",18,Posted on 28 October 2023,None
just dance new jazz remix [slowed] Prod. Bread Beatz & Newmagick,SlakcV2,"44,882 plays",4 comments,"1,025",8,Posted on 7 November 2023,New Jazz
Promise,laufey,"922,230 plays",675 comments,15.6K,145,Posted on 14 June 2023,Jazz
Kyra - new jazz,lmaowil,"255,096 plays",66 comments,"5,851",42,Posted on 27 July 2023,Jazz & Blues
Migos - NewJAZZ,OHBAD,"198,037 plays",80 comments,"9,030",74,Posted on 30 September 2023,Hip-hop & Rap
new jazz x pluggnb type beat: japan - prod.jk8,GIOOOO!:(,"104,691 plays",33 comments,"2,525",26,Posted on 7 September 2023,None
